pair,lambda,beta,seed,block,domain,images,selected,coverage,student_audit_pre_ce,student_audit_post_ce,teacher_audit_pre_ce,teacher_audit_post_ce,hard_all_pre,hard_selected_pre,hard_unselected_pre,soft_all_pre,soft_selected_pre,soft_unselected_pre,true_all_pre,true_selected_pre,true_unselected_pre,hard_all_post,hard_selected_post,hard_unselected_post,soft_all_post,soft_selected_post,soft_unselected_post,true_all_post,true_selected_post,true_unselected_post
l07_b00015,0.7,0.0015,404,5,glass_blur,6000,1659,0.2765,2.742682695388794,3.5092828273773193,1.9878811836242676,1.9622139930725098,2.7210678818050793,1.1925813879038558,3.305209575742449,3.2272572899894896,1.285749030980999,3.9692435147522365,3.2514505197251697,1.6255193618552313,3.872832641564891,2.5560030097231237,0.6529046144703161,3.283310136588916,3.06635381605936,0.7658130958198861,3.9455514790119737,3.115237668700878,1.2124505663494523,3.8424258287563973
l07_b00015,0.7,0.0015,404,6,motion_blur,6000,2832,0.472,2.9208877086639404,1.8632138967514038,1.1516951322555542,1.1381152868270874,1.9668450548281031,0.7935252925410557,3.0157218120240987,2.3890320025274856,0.8687946545949676,3.7480320559823133,2.434548632414708,1.0109004366825136,3.7072038376904577,1.7897369400056777,0.4605341691835695,2.9779636593769574,2.2186667681366696,0.5452327995253817,3.7146153158346387,2.270984811332814,0.7068517856106656,3.669224940387463
l07_b00015,0.7,0.0015,404,7,zoom_blur,6000,2992,0.49866666666666665,1.8695918321609497,1.7152808904647827,1.04254949092865,1.0440822839736938,1.593962408506741,0.5129641424149999,2.669210683821397,2.102216497475088,0.5938500751647573,3.6025596941348286,2.1977848939555327,0.7628662878154544,3.625070954318271,1.4565969927179425,0.27184729931416857,2.6350448260504193,1.9733355045897343,0.36068541620627764,3.5774076669711525,2.0695747744123256,0.538995037561641,3.592013129684017
l07_b00015,0.7,0.0015,404,8,snow,6000,2161,0.3601666666666667,2.80940842628479,2.535344123840332,1.5585107803344727,1.537164568901062,2.193423373151671,0.8056495812758842,2.974610964775421,2.826399574247009,0.9102231045199299,3.9050287357682945,2.6380690321309412,1.0534669478628402,3.53005264872468,2.046053473373064,0.4208491452528001,2.9608923775324514,2.6905192687323938,0.5393933298799379,3.9014031327230567,2.503149656608821,0.7118799641328597,3.5114679179895325
l07_b00015,0.7,0.0015,404,9,frost,6000,2090,0.34833333333333333,2.870218515396118,2.454713821411133,1.8243002891540527,1.8039913177490234,2.1669868328785276,0.7072407510905696,2.947260313936541,2.8113420084650715,0.8264941207311054,3.8722965060006183,2.639592832232103,1.0422289569009815,3.4934267195574327,2.0201212877577666,0.35554936774223855,2.9098796797865267,2.6730644645050416,0.4881337966034756,3.8409685811071577,2.5203158132467296,0.7650038272110949,3.458577207316928
l07_b00015,0.7,0.0015,404,10,fog,6000,1874,0.31233333333333335,2.6201364994049072,2.3416988849639893,1.6841750144958496,1.6244823932647705,2.33968436728101,0.8198807621582415,3.0299684089678918,2.9918447395462655,0.9389905132527875,3.9242366009311382,2.7523145256298727,1.0656276906609863,3.5183957492681905,2.1903405661331004,0.39697580074861716,3.0048741507987633,2.853928940496813,0.5333358635183807,3.907925893055608,2.62860589795679,0.7149008572011747,3.4977971840391997
l07_b00015,0.7,0.0015,404,11,brightness,6000,3059,0.5098333333333334,2.467245578765869,1.668097972869873,1.1841001510620117,1.1818453073501587,1.6300625621066207,0.640335957817311,2.6594993803728557,2.097085005724551,0.7204251042173286,3.5289798165748003,2.20816162479263,0.8832734615999264,3.5862074905547803,1.4741939469700978,0.3742106189454477,2.6183112541538462,1.9477952338169267,0.4625974126676363,3.4925827669334426,2.0636575462016573,0.6396615965893502,3.544787641361143
l07_b00015,0.7,0.0015,404,12,contrast,6000,1491,0.2485,2.422144889831543,3.033149003982544,2.2413573265075684,2.060152292251587,3.072219593082678,1.4704576740938184,3.6018773933072064,3.668034956622473,1.5595839805495657,4.3652406353372,3.564309276622921,1.7805927297607462,4.154134375618599,2.8798073130278827,0.8060519138930304,3.565540136294697,3.489122816285317,0.918602048960282,4.339122032094062,3.3983718457581653,1.201903769117377,4.1246823142148985
l07_b00015,0.7,0.0015,404,13,elastic_transform,6000,2282,0.38033333333333336,4.8149871826171875,2.8891727924346924,1.605533480644226,1.6283411979675293,2.2163655116780054,0.9532176827121478,2.9916488214413426,2.764787728833542,1.0469359978375175,3.8191550365616025,2.8353893523083533,1.2022504326959373,3.837762406250135,2.01944138847057,0.5131698395641885,2.943946949149527,2.580533146517448,0.6195988290636724,3.7840974586286675,2.6554385197920714,0.7901980068543232,3.8002687646882363
l07_b00015,0.7,0.0015,404,14,pixelate,6000,1045,0.17416666666666666,2.977118492126465,3.381680727005005,2.1175904273986816,2.053466558456421,2.827461659811988,0.9481326758480215,3.2238085393765386,3.7515947235008476,1.1045991971815605,4.309841005035387,3.5893963369790276,1.5060929816209216,4.028761020399657,2.704419116790933,0.40299162245468734,3.189785762922391,3.623989929380099,0.5799417951469787,4.265973844672451,3.4830607434414382,1.0817639658468376,3.9894896299371734
